,stop_id,stop_name,stop_lat,stop_lon,count
1082,at:48:245,Sulzberg Hermannsberg,47.52530669,9.94543716,6
1083,at:48:246,Sulzberg Hermannshansen,47.52300762,9.95351301,3
1084,at:48:247,Sulzberg Hinterberg,47.52838206,9.89685627,36
1085,at:48:248,Sulzberg Holderegg,47.51740815,9.93611265,3
1086,at:48:249,Bludenz Fraßenweg,47.16648423,9.81699604,29
1087,at:48:250,Sulzberg Hompmann,47.51631003,9.88268085,35
1088,at:48:2500,Gisingen Beim Viehgatter,47.26664227,9.59123144,55
1089,at:48:2501,Gisingen Breite Lache,47.26992784,9.59075533,55
1090,at:48:2502,Rankweil L190/Betr.geb. Nord,47.28883263,9.62029194,89
1091,at:48:2503,Röthis L190/Frutzbrücke,47.29789868,9.62133399,35
1092,at:48:2504,Meiningen Industriegebiet,47.30434998,9.58304779,131
1093,at:48:2505,Göfis L65/Agasella,47.24307045,9.64495968,13
1094,at:48:2506,Göfis Bauhof,47.23764855,9.6381235,40
1095,at:48:2507,Röthis Interpark FOCUS Süd,47.30392967,9.62045364,90
1096,at:48:2508,Frastanz Bahnhofstraße,47.21834109,9.63516804,164
1097,at:48:2509,Rankweil L190/Sennhofweg,47.28112404,9.61820785,90
1098,at:48:251,Sulzberg Schönenbühl,47.52116344,9.88472901,36
1099,at:48:2510,Meiningen Luttenweg,47.30770021,9.58865328,75
1100,at:48:2511,Göfis L65/Büttels,47.23340334,9.63463804,90
1101,at:48:2512,Rankweil L190/Frutzbrücke,47.29719197,9.62091178,55
1102,at:48:252,Sulzberg Kreier,47.50521223,9.9035038,3
1103,at:48:253,Sulzberg Landrath,47.52224933,9.92469506,3
1104,at:48:254,Sulzberg Mühnen,47.51567905,9.94267035,3
1105,at:48:255,Sulzberg Gemeindehaus,47.52179435,9.91418477,38
1106,at:48:256,Sulzberg Schüssel,47.51573973,9.92268283,3
1107,at:48:257,Sulzberg Simlisgschwend,47.5178207,9.93028258,5
1108,at:48:258,Sulzberg Stein,47.5191372,9.9249376,3
1109,at:48:259,Sulzberg Unterhalden,47.52761778,9.95616304,6
1110,at:48:260,Sulzberg Wandfluh,47.51758409,9.94918313,3
1111,at:48:261,Sulzberg Weissenhalden,47.51130448,9.90235396,5
1112,at:48:262,Thal Dorfplatz,47.53734632,9.88289645,26
1113,at:48:263,Thal Kuhn,47.53330107,9.87918641,26
1114,at:48:264,Thal Martinsbrücke,47.52820616,9.87459601,26
1115,at:48:265,Thüringen Busplatz,47.1978913,9.76563037,414
1116,at:48:266,Thüringen Mittelschule,47.1972382,9.76613343,225
1117,at:48:267,Thüringen John-Douglas-Straße,47.19798286,9.76135439,348
1118,at:48:268,Thüringen Kastner,47.20188302,9.76546867,37
1119,at:48:269,Bludenz Friedhof,47.14782902,9.82770396,118
1120,at:48:27,Schruns Mühlbachweg,47.08125466,9.90322532,21
1121,at:48:270,Thüringen Quadern,47.20552657,9.77827865,37
1122,at:48:271,Thüringen Sportplatz,47.19382604,9.76637597,191
1123,at:48:272,Thüringerberg Meiern,47.21082971,9.78578857,37
1124,at:48:274,Thüringerberg Feuerwehrhaus,47.21553436,9.7849172,41
1125,at:48:275,Thüringerberg Tankstelle,47.21542453,9.79187914,37
1126,at:48:277,Tisis Dorfstraße,47.22860877,9.57984979,61
1127,at:48:278,Tisis Gallmist,47.2202874,9.5818171,30
1128,at:48:279,Alberschwende Hof-Bühel,47.45195387,9.83577981,160
1129,at:48:28,Schruns Gauenstein,47.08171956,9.90936082,24
1130,at:48:280,Bludenz Grete-Gulbransson-Weg,47.15461627,9.83417183,19
1131,at:48:281,Tisis Kehrstraße,47.22152593,9.57949046,60
1132,at:48:282,Tisis Landeskrankenhaus,47.2318052,9.58041573,249
1133,at:48:283,Tisis Leopold-Scheel-Weg,47.23100611,9.5867219,165
1134,at:48:284,Tisis Lorenz-Gehrmann-Straße,47.2315673,9.58393712,275
1135,at:48:285,Tisis Marxerweg,47.22396019,9.58539239,30
1136,at:48:286,Tisis Proßwaldenweg,47.23306786,9.58671292,215
1137,at:48:287,Tisis Rappenwaldstraße,47.22218484,9.57668772,194
1138,at:48:288,Tisis Rheinbergerstraße,47.22574769,9.58202371,33
1139,at:48:289,Tisis Schanzweg,47.22352094,9.58974024,30
1140,at:48:29,Schruns Außerlitz,47.08142594,9.9150741,24
1141,at:48:290,Tisis Zellerweg,47.23110981,9.57780163,99
1142,at:48:291,Bludenz Hotel Einhorn,47.16399236,9.81000715,232
1143,at:48:292,Tisis Töbeleweg,47.21947594,9.5727531,166
1144,at:48:293,Tosters Alberweg,47.23690444,9.57852028,71
1145,at:48:294,Tosters Blumenau,47.2493821,9.5835239,180
1146,at:48:295,Tosters Böschenmahdstraße,47.23319595,9.57546601,60
1147,at:48:296,Tosters Burgweg,47.24180804,9.58055047,129
1148,at:48:297,Tosters Hub,47.22706539,9.55753564,58
1149,at:48:298,Tosters Kapellenweg,47.23591635,9.5707768,60
1150,at:48:299,Tosters Kirche,47.23830726,9.57684043,132
1151,at:48:3,Riefensberg Schwarzen,47.50019349,9.95294707,69
1152,at:48:30,Bludenz Jellerstraße/Begle,47.1550561,9.82630259,47
1153,at:48:300,Tosters Riedteilweg,47.23545279,9.57517855,60
1154,at:48:301,Tosters Rote-Au-Weg,47.24444871,9.58673987,171
1155,at:48:303,Tosters Straßbergweg,47.23342164,9.56521623,59
1156,at:48:304,Tosters Untersteinstraße,47.24537566,9.58274236,129
1157,at:48:305,Tosters Vorarlberghalle,47.24078344,9.5893899,170
1158,at:48:306,Tosters Werdenbergstraße,47.23058521,9.56218891,58
1159,at:48:308,Tschagguns Bödma,47.05920993,9.93452263,70
1160,at:48:3088,Hard Mühlestraße,47.48259677,9.69446583,116
1161,at:48:31,Thal Au,47.52183682,9.87208073,26
1162,at:48:310,Tschagguns Ganzenahl,47.0705057,9.9116605,70
1163,at:48:3100,Hohenems Unterklien Kapelle,47.38053027,9.71359995,9
1164,at:48:3107,Götzis Rathaus,47.33525536,9.64413323,42
1165,at:48:311,Tschagguns Innerzelfen,47.06524362,9.92549456,70
1166,at:48:312,Tschagguns Lochmühle,47.07473947,9.88869956,70
1167,at:48:313,Bludenz Gymnasium,47.15650384,9.82801837,84
1168,at:48:314,Tschagguns Maurenstutz,47.04703033,9.94241882,183
1169,at:48:315,Tschagguns Rasafei,47.07457429,9.90481534,70
1170,at:48:3151,Hörbranz Bad Diezlings,47.56866675,9.7535121,1
1171,at:48:316,Tschagguns Schulsportzentrum,47.07259816,9.90812114,71
1172,at:48:3160,Levis Volksschule,47.24114327,9.60157105,1
1173,at:48:317,Tschagguns Nirastraße,47.07491078,9.89726051,70
1174,at:48:318,Tschagguns Zelfen,47.06662649,9.92052688,70
1175,at:48:319,Übersaxen Gemeindeamt,47.25261995,9.67106472,45
1176,at:48:32,Sulzberg Eientobel,47.53035336,9.90236294,36
1177,at:48:320,Übersaxen Kirchstraße,47.25580883,9.67019335,44
1178,at:48:321,Übersaxen Rainberg,47.26125936,9.67064251,45
1179,at:48:3211,Emsreute Kindergarten,47.36886231,9.70806633,1
1180,at:48:323,Langen a. A. Arlbergexpress,47.1310374,10.11040378,107
1181,at:48:324,Bludenz Halde,47.15498279,9.83698355,19
1182,at:48:326,Vandans Bahnhof,47.09868575,9.86885578,79
1183,at:48:327,Vandans Zentrum,47.09526114,9.86578354,50
1184,at:48:330,Partenen Vermuntsee,46.93720901,10.06068203,30
1185,at:48:331,Viktorsberg Feldkreuz,47.29931815,9.67292423,31
1186,at:48:332,Viktorsberg Gasthaus Alpenrose,47.30108483,9.67295118,31
1187,at:48:333,Viktorsberg Gemeindeamt,47.30201688,9.67512511,31
1188,at:48:335,Viktorsberg Hotel Viktor,47.30391748,9.67772124,31
1189,at:48:336,Wald Gasthaus Spullersee,47.13255913,10.05336974,98
1190,at:48:338,Wald Außerwald,47.12810993,10.0304627,89
1191,at:48:339,Wald Göttschlig (Sonnenkopfb.),47.13051792,10.04908478,42
1192,at:48:340,Wald Stelzistobel,47.12823828,10.03962552,89
1193,at:48:342,Warth Jägeralpe,47.26746521,10.14939066,43
1194,at:48:344,Warth Dorfplatz,47.25797936,10.18335596,43
1195,at:48:345,Warth Steffisalpe,47.26029001,10.17637605,43
1196,at:48:346,Weiler Feldstraße,47.2983495,9.65115805,341
1197,at:48:347,Weiler Dorfmitte,47.30381393,9.65248756,379
1198,at:48:348,Weiler Halden,47.30782203,9.66264751,40
1199,at:48:353,Bludenz Hofer,47.15206275,9.81748113,27
1200,at:48:358,Wolfurt Ach,47.48183183,9.74552607,111
1201,at:48:359,Wolfurt Bildsteinerstraße,47.45309586,9.7567101,125
1202,at:48:360,Wolfurt Kirche,47.47324669,9.75331447,10
1203,at:48:361,Bludenz Im Moos,47.14477417,9.82595224,28
1204,at:48:362,Wolfurt Im Wida,47.48339206,9.73638123,56
1205,at:48:363,Wolfurt Inselstraße,47.47889944,9.75063749,169
1206,at:48:364,Wolfurt Mähdle,47.46218838,9.74983799,222
1207,at:48:365,Wolfurt Rathaus-Cubus,47.46733221,9.74999968,224
1208,at:48:367,Wolfurt Rickenbach,47.45688005,9.75238022,169
1209,at:48:368,Wolfurt Sportplatzstraße,47.4789723,9.75602738,113
1210,at:48:369,Wolfurt Dorfzentrum,47.47263949,9.75028715,289
1211,at:48:370,Zug Alphorn,47.19927684,10.10439405,282
1212,at:48:371,Bludenz Winkelweg,47.16437104,9.82139778,29
1213,at:48:372,Zug Auerhahn,47.19899607,10.10157334,232
1214,at:48:373,Zug Egg,47.20099193,10.11550621,282
1215,at:48:374,Zug Kirchle,47.20073558,10.10980191,282
1216,at:48:376,Zürs Arlberghaus,47.16895766,10.16342234,261
1217,at:48:377,Zürs Seekopfbahn,47.17610859,10.16204792,219
1218,at:48:378,Zürs Trittkopfbahn,47.16773623,10.16399727,285
1219,at:48:379,Alberschwende Zoll,47.4493843,9.80971968,106
1220,at:48:382,Bludenz Kasernplatz,47.15578303,9.81689722,130
1221,at:48:384,Beschling Burggasse/L190,47.1950896,9.68362317,38
1222,at:48:385,Bludenz Klarenbrunn-Fabrik,47.1476213,9.82274526,27
1223,at:48:387,Mäder Stüdlers Mahd,47.35081386,9.62658913,167
1224,at:48:388,Bludenz Krankenhaus,47.15899606,9.82137083,57
1225,at:48:389,Bludenz Lager Schmidt's Erben,47.14164582,9.82977008,28
1226,at:48:390,Bludenz Oberfeldweg,47.16290519,9.82312255,29
1227,at:48:391,Bludenz Paschgweg,47.14076594,9.83578879,28
1228,at:48:392,Bludenz Post-Kreuzung,47.15669931,9.81884657,169
1229,at:48:393,Bludenz Postamt,47.15665655,9.81837046,257
1230,at:48:395,Bludenz Pulverturm-Kreuzung,47.1553432,9.81757096,41
1231,at:48:396,Bludenz Riedmillerplatz,47.15493392,9.82201762,60
1232,at:48:397,Bludenz Rosenpark,47.15700473,9.82539529,32
1233,at:48:398,Bludenz Rungelin,47.15234377,9.83992104,19
1234,at:48:399,Bludenz Rungelin/Messweg,47.15242319,9.83475573,19
1235,at:48:4,Rankweil Im Grisseler,47.27817437,9.64491476,44
1236,at:48:400,Bludenz VAL BLU/Stadion,47.15715745,9.83075823,67
1237,at:48:401,Bludenz Oberdaneu/Seilbahn Muttersberg,47.16674074,9.81901725,29
1238,at:48:402,Bludenz Sparkassenplatz,47.15539818,9.82052642,110
1239,at:48:403,Altach Apotheke,47.35413071,9.65616167,113
1240,at:48:404,Bludenz Spritzerbau,47.14950911,9.82066117,27
1241,at:48:405,Viktorsberg Kirche,47.30197424,9.67773022,31
1242,at:48:407,Bludenz Suchardstraße,47.16114612,9.81996946,28
1243,at:48:408,Bludenz Tränkeweg,47.14272121,9.83240215,28
1244,at:48:409,Bludenz Unterfeld,47.15223381,9.833013,41
1245,at:48:410,Bludenz Volksschule-Mitte,47.15402983,9.82430833,60
1246,at:48:411,Bludenz Wichner,47.15353501,9.81760689,45
1247,at:48:412,Bludenz Obdorfweg,47.16411452,9.81842436,29
1248,at:48:414,Bludesch Dorfzentrum,47.19905711,9.74539133,345
1249,at:48:415,Bludesch Siedlung,47.19996044,9.75157174,345
1250,at:48:416,Bludesch Walgaupark,47.19704898,9.74121416,344
1251,at:48:417,Bolgenach Häusern,47.46374312,9.97020371,14
1252,at:48:418,Bolgenach Au,47.47120038,9.94981195,34
1253,at:48:419,Bolgenach Gfäll,47.46616017,9.9590107,34
1254,at:48:420,Bolgenach Komma,47.46376134,9.96163378,35
1255,at:48:421,Bolgenach Reute,47.46470266,9.98872697,14
1256,at:48:422,Brand Galaferda,47.11692418,9.75140106,63
